heart_index,first_minimum_wanderer_influence,first_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
0,15,11,15,3,41,0,0,11,6280,3894,24,10,3527,4000,9,9818,627,3,409,717294,10,1000,29,5,863,260,86,53909,11,4,9,9,8,120,9545,9,5727,69,116,92818,9,21,9909,4,11
1,15,11,15,2,40,0,0,11,6275,3894,24,9,3518,3900,9,9818,636,3,409,717296,10,1000,29,5,863,260,85,53000,11,5,9,8,7,115,8909,9,5454,70,116,92909,8,24,9363,4,11
2,15,11,15,2,46,0,0,11,6206,3894,24,9,3572,4100,9,9727,636,3,409,717298,10,1000,37,5,709,266,78,55818,11,7,9,8,7,126,10709,9,6727,72,114,104909,9,21,12363,4,11
3,15,11,15,3,49,0,0,11,6216,3944,49,9,3581,4100,9,9909,645,3,409,717294,10,1000,32,6,754,271,83,56272,12,7,9,8,7,126,10709,9,6636,72,116,102545,9,22,13090,4,11
4,15,11,15,3,49,0,2,10,6242,4094,49,9,3618,4100,9,9909,636,3,409,717293,10,1000,30,5,790,275,85,56000,12,6,9,8,7,124,10109,9,6272,68,118,99000,8,24,15636,4,11
5,15,11,15,3,46,0,2,11,6229,4169,49,10,3581,4100,9,9727,627,3,409,717294,10,1000,30,5,781,275,86,58545,12,6,9,8,7,133,10109,9,6363,74,118,99727,8,26,17545,4,11
6,15,11,15,3,48,0,0,11,6225,3994,49,9,3509,3900,10,10000,627,3,409,717295,10,1000,30,6,772,259,85,56181,12,6,9,9,8,122,10036,9,5727,72,116,100363,8,23,14181,4,11
7,15,11,15,2,47,0,2,10,6253,4019,49,10,3536,3900,9,9909,645,3,409,717303,10,1000,26,4,763,265,88,56272,12,6,9,8,7,123,10036,9,6090,65,118,96363,8,21,13454,4,11
8,15,11,15,2,41,0,1,11,6217,4119,49,10,3536,3900,9,9909,645,3,409,717296,10,1000,32,5,754,255,82,55727,12,4,9,8,7,128,10581,9,6818,67,118,99818,9,26,17909,4,11
9,15,11,15,2,46,0,1,11,6210,3994,49,9,3554,4000,9,9909,618,3,409,717296,10,1000,32,5,736,264,83,57363,12,7,9,8,7,138,10927,9,6727,72,116,103909,9,22,13727,4,11
10,15,11,15,2,52,0,3,11,6226,4119,49,10,3518,3900,9,9909,636,3,409,717296,10,1000,30,5,727,255,85,57090,12,6,9,9,7,134,10127,9,6545,70,118,100545,9,25,16909,4,11
11,15,11,15,2,46,0,2,10,6226,4094,49,10,3563,4000,9,9909,645,3,409,717298,10,1000,30,5,763,258,85,56727,12,7,9,8,7,126,10218,9,6272,71,118,101090,8,25,15636,4,11
12,15,11,15,2,51,0,3,10,6229,4119,49,9,3563,3900,9,9909,618,3,409,717295,10,1000,30,4,745,258,83,55818,12,5,9,8,7,124,10200,9,6272,66,118,100545,9,25,16000,4,11
13,15,11,15,2,42,0,2,11,6220,4019,49,9,3545,3900,9,9909,636,3,409,717295,10,1000,29,5,781,280,85,57636,12,3,9,8,7,138,10581,9,6181,75,118,96727,9,24,14090,4,11
14,15,11,15,2,51,0,3,11,6212,4094,49,9,3509,3900,10,10000,618,3,409,717291,10,1000,29,5,718,252,86,56818,12,6,9,8,7,129,10200,9,6363,68,118,100818,8,26,15545,4,11
15,15,11,15,2,42,0,1,10,6263,4044,49,9,3545,4000,9,9909,627,3,409,717295,10,1000,28,4,790,272,87,53727,12,5,9,9,8,114,9363,9,6272,70,118,95636,9,23,14272,4,11
