heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
1,4000000,4012450,9076680744931357842,16994406626775894751,1,170,65.384615,20636418,14218,F H J I D G A K B C E,J B C H G K A E F I D,E F K C D B G H I A J,15,0,0,0,15,2,0,15,0,11,6190,0,0,0,3309,3500,10,9,0,536,1,409,0,0,0,0,29,5,0,210,70,0,0,2,8,6,5,0,115,8909,6,0,59,113,0,6,13,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,2,169,65.000000,8930397,7731,C F H E K B J I D G A,D G I F B A E K C J H,A E C B H K F G J D I,15,0,0,0,15,2,0,15,0,11,6196,0,0,0,3272,3400,10,9,0,563,1,307,0,0,0,0,29,5,0,216,70,0,0,2,8,6,4,0,115,8909,7,0,55,113,0,6,12,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,3,169,65.000000,23719056,19055,G F D C B A K E H I J,A I G H K J C B D F E,G C E K B D J F A I H,15,0,0,0,15,2,0,15,0,11,6229,0,0,0,3309,3500,10,8,0,581,1,384,0,0,0,0,29,5,0,222,70,0,0,3,8,6,5,0,115,8909,6,0,59,114,0,6,13,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,4,168,64.615385,7934297,17980,C B J I D K A G H F E,E G I J B D K A H F C,J E H C F K G D B A I,15,0,0,0,15,2,0,15,0,11,6269,0,0,0,3309,3500,10,8,0,554,1,256,0,0,0,0,29,5,0,222,70,0,0,2,8,6,4,0,115,8909,6,0,55,113,0,6,12,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,5,168,64.615385,11619638,6694,D C A E H G F J I B K,E D F K B I A C H G J,G A E B H F I J C K D,15,0,0,0,15,2,0,15,0,11,6190,0,0,0,3290,3400,10,9,0,536,1,307,0,0,0,0,29,5,0,214,72,0,0,2,8,6,4,0,115,8909,7,0,55,113,0,6,12,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,6,168,64.615385,17538972,8866,E J C K I G A F B D H,H B K F E G A D I C J,D F H E G K I A C J B,15,0,0,0,15,2,0,15,0,11,6217,0,0,0,3290,3400,10,8,0,509,1,307,0,0,0,0,29,5,0,212,71,0,0,2,8,6,4,0,115,8909,7,0,55,112,0,6,12,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,7,168,64.615385,21772518,1586,F K J I H D E B A C G,B G I H J C F K A E D,F E C K D J I B G H A,15,0,0,0,15,2,0,15,0,11,6198,0,0,0,3309,3500,10,8,0,600,1,307,0,0,0,0,29,5,0,218,71,0,0,3,8,7,5,0,115,8909,6,0,64,114,0,6,12,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,8,168,64.615385,23231858,5990,G E A C H F K B I D J,K D F E G I A B H C J,G J B F E A K H D I C,15,0,0,0,15,2,0,15,0,11,6190,0,0,0,3309,3400,10,9,0,563,1,256,0,0,0,0,29,5,0,218,70,0,0,2,8,6,5,0,115,8909,7,0,54,113,0,6,12,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,9,168,64.615385,23612363,12262,G F A H K J E C I D B,E C J B G I H K D A F,H J D F E C B G A K I,15,0,0,0,15,2,0,15,0,11,6218,0,0,0,3309,3600,10,9,0,500,1,384,0,0,0,0,29,5,0,219,71,0,0,2,8,6,5,0,115,8909,6,0,59,114,0,6,14,0,4,0
1,4000000,4012450,9076680744931357842,16994406626775894751,10,168,64.615385,25710915,6615,H A J G D F I B E K C,D J I B F H K E A G C,G C F H A I B J D E K,15,0,0,0,15,2,0,15,0,11,6239,0,0,0,3327,3400,10,9,0,490,1,307,0,0,0,0,29,5,0,220,70,0,0,2,8,6,5,0,115,8909,6,0,57,113,0,6,12,0,4,0
