heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
118,4000000,4012665,16848360326618292004,16994406626775894751,1,158,60.769231,11674643,5177,D C B H F J I E K G A,F E J I D H G K B A C,G K C A J F D I E H B,13,0,0,0,12,2,0,15,0,8,6202,0,0,0,3318,3500,10,9,0,500,1,384,0,0,0,0,27,4,0,216,71,0,0,3,8,8,5,0,126,9709,7,0,64,115,0,7,13,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,2,158,60.769231,12455304,2010,D F C K E A G B H I J,J I E B K D C A G F H,A C B K I J F G D H E,13,0,0,0,12,2,0,15,0,8,6145,0,0,0,3263,3400,10,9,0,600,2,409,0,0,0,0,27,5,0,212,72,0,0,6,8,8,5,0,126,9709,8,0,63,114,0,8,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,3,158,60.769231,19241800,12395,F D A C J I E H K B G,B A E G H C F I K J D,K D B F E I H A J C G,13,0,0,0,11,2,0,15,0,9,6141,0,0,0,3300,3400,10,9,0,545,1,384,0,0,0,0,27,5,0,222,72,0,0,3,8,8,5,0,126,9709,8,0,57,114,0,7,15,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,4,158,60.769231,25305930,4205,G K H F A B I J C D E,K D F G A I H E C B J,B H G A J K F I E C D,13,0,0,0,12,2,0,15,0,8,6204,0,0,0,3300,3400,10,9,0,590,2,384,0,0,0,0,27,4,0,207,71,0,0,3,8,7,5,0,126,9709,7,0,63,115,0,7,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,5,158,60.769231,28446468,15761,H J D F A K I E B C G,I C G E J A D B K F H,F B D H C I J K E G A,13,0,0,0,12,2,0,15,0,8,6207,0,0,0,3309,3500,10,9,0,527,1,307,0,0,0,0,27,4,0,206,71,0,0,2,8,7,5,0,126,9709,7,0,65,115,0,7,12,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,6,158,60.769231,37259928,17951,K C H A I J E B D F G,I G H B C D F E K A J,A F E D B G I K J H C,13,0,0,0,12,2,0,15,0,9,6161,0,0,0,3318,3500,10,9,0,463,1,384,0,0,0,0,27,4,0,214,71,0,0,2,8,7,5,0,126,9709,7,0,64,115,0,7,13,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,7,158,60.769231,37430122,104,K D B E H C I F J A G,G B I J H D E F C A K,D E A K F J H C I G B,13,0,0,0,12,2,0,15,0,9,6181,0,0,0,3309,3400,10,9,0,527,1,307,0,0,0,0,27,5,0,215,72,0,0,3,8,8,5,0,126,9709,8,0,52,114,0,8,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,8,157,60.384615,2863448,4718,A I K B D C E G H F J,K H I J B G A C F D E,I B A D E F G J C H K,13,0,0,0,12,2,0,15,0,7,6153,0,0,0,3300,3500,10,9,0,581,1,384,0,0,0,0,27,4,0,209,73,0,0,2,8,8,5,0,126,9709,8,0,64,115,0,8,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,9,157,60.384615,3596446,11711,A K J C G B E I H D F,K I H G E D F B A J C,B K C F I J H D G A E,15,0,0,0,12,2,0,15,0,8,6201,0,0,0,3281,3400,10,9,0,572,1,409,0,0,0,0,27,4,0,214,73,0,0,3,8,7,6,0,126,9709,7,0,62,115,0,7,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,10,157,60.384615,6696564,16711,B J F A H I G E C D K,E D G F C B J A K I H,H J D G I E C F B K A,15,0,0,0,12,2,0,15,0,7,6165,0,0,0,3263,3400,10,9,0,554,1,409,0,0,0,0,27,4,0,215,73,0,0,3,8,8,5,0,126,9709,8,0,58,115,0,8,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,11,157,60.384615,12758582,9008,D G B F H C I J E A K,F E K J B A D C I G H,G K B D C I H J E A F,13,0,0,0,12,2,0,15,0,8,6201,0,0,0,3272,3400,10,9,0,518,1,307,0,0,0,0,27,4,0,210,73,0,0,1,8,7,5,0,126,9709,7,0,64,115,0,7,13,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,12,157,60.384615,14164561,17779,D K A E G B C F H J I,E I C K J F A B H G D,J K F B C G I D E A H,13,0,0,0,12,2,0,15,0,8,6166,0,0,0,3254,3400,10,9,0,609,1,384,0,0,0,0,27,4,0,220,71,0,0,3,8,7,5,0,126,9709,8,0,62,115,0,8,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,13,157,60.384615,19655939,18002,F E B G K J D C I H A,F E B D C I K A G H J,H K C J I F B G D A E,13,0,0,0,12,2,0,15,0,10,6160,0,0,0,3309,3500,10,9,0,518,1,307,0,0,0,0,27,5,0,217,73,0,0,3,8,7,6,0,126,9709,7,0,64,113,0,7,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,14,157,60.384615,20958781,10424,F I H J D C E G A K B,C H A K E B D I J G F,H F I B K D J E C A G,15,0,0,0,12,2,0,15,0,8,6224,0,0,0,3281,3400,10,9,0,518,1,384,0,0,0,0,27,4,0,217,73,0,0,3,8,7,5,0,126,9709,7,0,64,115,0,7,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,15,157,60.384615,24779490,19740,G J C F E K H I A B D,C A E B K F I D G J H,B G H F E I K J D C A,13,0,0,0,12,2,0,15,0,9,6201,0,0,0,3309,3500,10,9,0,490,1,307,0,0,0,0,27,5,0,219,73,0,0,2,8,7,6,0,126,9709,7,0,74,113,0,7,13,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,16,157,60.384615,25779952,16690,H B A F C G K I J D E,E J F K H C I D G A B,I E H D C B A J F G K,13,0,0,0,12,2,0,15,0,9,6164,0,0,0,3263,3400,10,9,0,600,1,384,0,0,0,0,27,4,0,214,73,0,0,3,8,7,5,0,126,9709,8,0,64,114,0,7,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,17,157,60.384615,29013309,12118,H K J E F B D I C G A,B J F K D C G H A I E,F D G E B J A C I K H,15,0,0,0,12,2,0,15,0,8,6193,0,0,0,3309,3500,10,8,0,536,1,384,0,0,0,0,27,4,0,219,71,0,0,3,8,8,6,0,126,9709,7,0,64,115,0,7,13,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,18,157,60.384615,35330673,9973,J H D C A F E G I K B,H B K E C A G F J I D,A E B J F I D G C K H,15,0,0,0,12,2,0,15,0,8,6224,0,0,0,3272,3500,10,9,0,618,1,409,0,0,0,0,27,4,0,209,73,0,0,3,8,8,6,0,126,9709,8,0,58,114,0,8,13,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,19,157,60.384615,38175411,18148,K F B I E D G A H J C,G K H B I C F J E A D,F E A C K J I D B G H,13,0,0,0,12,2,0,15,0,8,6184,0,0,0,3272,3400,10,9,0,527,1,409,0,0,0,0,27,4,0,214,72,0,0,2,8,8,6,0,126,9709,7,0,64,114,0,7,14,0,4,0
118,4000000,4012665,16848360326618292004,16994406626775894751,20,156,60.000000,956428,13956,A D H I J E C B K F G,C E J H I A B K F G D,I C D E A G F J H K B,13,0,0,0,12,2,0,15,0,10,6189,0,0,0,3290,3400,10,9,0,500,1,307,0,0,0,0,27,4,0,223,71,0,0,3,8,7,5,0,126,9709,7,0,53,115,0,7,14,0,4,0
