rank,heart_index,top_40_sum,average_score,best_score,worst_top_40_score,trials_per_heart,raw_attempts,candidate_csv
1,2,7015,175.375000,177,175,4000000,4012209,heart_002_top_40.csv
2,3,6997,174.925000,180,174,4000000,4012317,heart_003_top_40.csv
3,17,6808,170.200000,173,169,4000000,4012464,heart_017_top_40.csv
4,22,6806,170.150000,171,169,4000000,4012484,heart_022_top_40.csv
5,29,6797,169.925000,174,169,4000000,4012684,heart_029_top_40.csv
6,6,6774,169.350000,171,169,4000000,4012145,heart_006_top_40.csv
7,37,6774,169.350000,174,168,4000000,4012486,heart_037_top_40.csv
8,21,6768,169.200000,171,168,4000000,4012426,heart_021_top_40.csv
9,20,6734,168.350000,170,168,4000000,4012602,heart_020_top_40.csv
10,36,6723,168.075000,173,167,4000000,4011846,heart_036_top_40.csv
11,58,6696,167.400000,171,166,4000000,4012526,heart_058_top_40.csv
12,1,6687,167.175000,170,166,4000000,4012450,heart_001_top_40.csv
13,0,6685,167.125000,169,166,4000000,4012587,heart_000_top_40.csv
14,9,6681,167.025000,170,166,4000000,4012594,heart_009_top_40.csv
15,30,6665,166.625000,170,166,4000000,4012652,heart_030_top_40.csv
16,76,6658,166.450000,169,166,4000000,4012907,heart_076_top_40.csv
17,34,6648,166.200000,169,165,4000000,4012584,heart_034_top_40.csv
18,44,6647,166.175000,169,165,4000000,4012623,heart_044_top_40.csv
19,38,6639,165.975000,169,165,4000000,4012543,heart_038_top_40.csv
20,8,6625,165.625000,168,165,4000000,4012896,heart_008_top_40.csv
21,49,6623,165.575000,168,165,4000000,4012516,heart_049_top_40.csv
22,46,6621,165.525000,168,165,4000000,4012463,heart_046_top_40.csv
23,12,6618,165.450000,169,164,4000000,4012647,heart_012_top_40.csv
24,40,6617,165.425000,168,165,4000000,4012772,heart_040_top_40.csv
25,11,6615,165.375000,167,164,4000000,4012455,heart_011_top_40.csv
26,63,6612,165.300000,168,164,4000000,4012523,heart_063_top_40.csv
27,72,6609,165.225000,168,164,4000000,4012775,heart_072_top_40.csv
28,41,6603,165.075000,169,164,4000000,4012585,heart_041_top_40.csv
29,78,6603,165.075000,168,164,4000000,4011980,heart_078_top_40.csv
30,71,6602,165.050000,167,164,4000000,4012544,heart_071_top_40.csv
31,43,6598,164.950000,169,164,4000000,4012186,heart_043_top_40.csv
32,33,6594,164.850000,167,164,4000000,4012745,heart_033_top_40.csv
33,4,6590,164.750000,166,164,4000000,4012444,heart_004_top_40.csv
34,95,6590,164.750000,166,164,4000000,4012733,heart_095_top_40.csv
35,32,6582,164.550000,167,164,4000000,4012731,heart_032_top_40.csv
36,94,6572,164.300000,167,163,4000000,4012537,heart_094_top_40.csv
37,48,6571,164.275000,167,163,4000000,4012678,heart_048_top_40.csv
38,18,6564,164.100000,166,163,4000000,4012389,heart_018_top_40.csv
39,31,6553,163.825000,167,163,4000000,4012449,heart_031_top_40.csv
40,19,6551,163.775000,169,163,4000000,4012474,heart_019_top_40.csv
41,81,6551,163.775000,167,163,4000000,4012529,heart_081_top_40.csv
42,42,6551,163.775000,166,163,4000000,4012258,heart_042_top_40.csv
43,61,6551,163.775000,166,163,4000000,4012789,heart_061_top_40.csv
44,10,6549,163.725000,167,163,4000000,4012712,heart_010_top_40.csv
45,39,6540,163.500000,166,163,4000000,4012559,heart_039_top_40.csv
46,108,6539,163.475000,165,163,4000000,4012753,heart_108_top_40.csv
47,112,6535,163.375000,165,162,4000000,4012504,heart_112_top_40.csv
48,64,6534,163.350000,165,163,4000000,4012507,heart_064_top_40.csv
49,73,6519,162.975000,166,162,4000000,4012492,heart_073_top_40.csv
50,52,6514,162.850000,166,162,4000000,4012470,heart_052_top_40.csv
51,35,6510,162.750000,165,162,4000000,4012726,heart_035_top_40.csv
52,74,6508,162.700000,166,162,4000000,4012382,heart_074_top_40.csv
53,79,6506,162.650000,164,162,4000000,4012366,heart_079_top_40.csv
54,113,6506,162.650000,166,161,4000000,4012468,heart_113_top_40.csv
55,68,6504,162.600000,166,162,4000000,4012290,heart_068_top_40.csv
56,53,6501,162.525000,165,162,4000000,4012167,heart_053_top_40.csv
57,111,6501,162.525000,165,162,4000000,4012662,heart_111_top_40.csv
58,80,6500,162.500000,165,162,4000000,4012464,heart_080_top_40.csv
59,67,6496,162.400000,165,162,4000000,4012659,heart_067_top_40.csv
60,55,6487,162.175000,164,161,4000000,4012509,heart_055_top_40.csv
61,107,6484,162.100000,166,161,4000000,4013018,heart_107_top_40.csv
62,66,6479,161.975000,164,161,4000000,4012530,heart_066_top_40.csv
63,104,6478,161.950000,165,161,4000000,4012498,heart_104_top_40.csv
64,93,6470,161.750000,166,161,4000000,4012269,heart_093_top_40.csv
65,96,6470,161.750000,164,161,4000000,4012033,heart_096_top_40.csv
66,106,6470,161.750000,164,161,4000000,4012198,heart_106_top_40.csv
67,70,6468,161.700000,165,161,4000000,4012262,heart_070_top_40.csv
68,85,6463,161.575000,164,161,4000000,4012179,heart_085_top_40.csv
69,69,6449,161.225000,162,160,4000000,4013514,heart_069_top_40.csv
70,54,6441,161.025000,165,160,4000000,4012393,heart_054_top_40.csv
71,15,6441,161.025000,164,160,4000000,4012600,heart_015_top_40.csv
72,105,6440,161.000000,165,160,4000000,4012132,heart_105_top_40.csv
73,60,6438,160.950000,163,160,4000000,4011959,heart_060_top_40.csv
74,77,6434,160.850000,164,160,4000000,4012148,heart_077_top_40.csv
75,59,6432,160.800000,164,160,4000000,4012615,heart_059_top_40.csv
76,177,6428,160.700000,163,160,4000000,4012402,heart_177_top_40.csv
77,13,6428,160.700000,162,160,4000000,4012602,heart_013_top_40.csv
78,62,6424,160.600000,162,160,4000000,4012583,heart_062_top_40.csv
79,45,6423,160.575000,163,160,4000000,4012689,heart_045_top_40.csv
80,75,6422,160.550000,164,160,4000000,4012122,heart_075_top_40.csv
81,51,6420,160.500000,164,160,4000000,4012152,heart_051_top_40.csv
82,16,6418,160.450000,163,160,4000000,4012750,heart_016_top_40.csv
83,5,6417,160.425000,163,159,4000000,4012155,heart_005_top_40.csv
84,65,6415,160.375000,163,160,4000000,4012278,heart_065_top_40.csv
85,86,6410,160.250000,162,159,4000000,4013563,heart_086_top_40.csv
86,98,6400,160.000000,163,159,4000000,4012361,heart_098_top_40.csv
87,7,6389,159.725000,162,159,4000000,4012275,heart_007_top_40.csv
88,82,6388,159.700000,162,159,4000000,4012693,heart_082_top_40.csv
89,14,6386,159.650000,161,159,4000000,4012816,heart_014_top_40.csv
90,84,6382,159.550000,162,159,4000000,4012672,heart_084_top_40.csv
91,99,6382,159.550000,162,159,4000000,4012817,heart_099_top_40.csv
92,47,6381,159.525000,163,159,4000000,4011889,heart_047_top_40.csv
93,101,6380,159.500000,163,159,4000000,4012480,heart_101_top_40.csv
94,50,6378,159.450000,162,159,4000000,4012179,heart_050_top_40.csv
95,97,6375,159.375000,161,159,4000000,4012782,heart_097_top_40.csv
96,179,6374,159.350000,161,158,4000000,4012319,heart_179_top_40.csv
97,87,6371,159.275000,163,158,4000000,4012559,heart_087_top_40.csv
98,91,6357,158.925000,162,158,4000000,4012416,heart_091_top_40.csv
99,56,6354,158.850000,162,158,4000000,4012236,heart_056_top_40.csv
100,120,6351,158.775000,161,158,4000000,4012678,heart_120_top_40.csv
101,100,6348,158.700000,160,158,4000000,4012704,heart_100_top_40.csv
102,178,6339,158.475000,162,158,4000000,4012318,heart_178_top_40.csv
103,124,6329,158.225000,159,158,4000000,4012555,heart_124_top_40.csv
104,123,6319,157.975000,159,157,4000000,4012457,heart_123_top_40.csv
105,57,6316,157.900000,160,157,4000000,4012871,heart_057_top_40.csv
106,102,6313,157.825000,161,157,4000000,4012512,heart_102_top_40.csv
107,132,6309,157.725000,161,157,4000000,4012432,heart_132_top_40.csv
108,121,6307,157.675000,160,157,4000000,4012206,heart_121_top_40.csv
109,119,6301,157.525000,161,157,4000000,4012620,heart_119_top_40.csv
110,88,6300,157.500000,161,157,4000000,4012553,heart_088_top_40.csv
111,116,6293,157.325000,159,156,4000000,4012668,heart_116_top_40.csv
112,92,6278,156.950000,160,156,4000000,4012563,heart_092_top_40.csv
