rank,heart_index,top_10_average,top_10_sum,best_score,tenth_score,top_40_sum,source_csv
1,003,176.7,1767,180,175,6997,heart_003_top_40.csv
2,002,176.1,1761,177,176,7015,heart_002_top_40.csv
3,017,171.8,1718,173,171,6808,heart_017_top_40.csv
4,029,171.6,1716,174,170,6797,heart_029_top_40.csv
5,037,171.1,1711,174,170,6774,heart_037_top_40.csv
6,022,171.0,1710,171,171,6806,heart_022_top_40.csv
7,006,170.2,1702,171,170,6774,heart_006_top_40.csv
8,021,170.0,1700,171,169,6768,heart_021_top_40.csv
9,036,169.9,1699,173,169,6723,heart_036_top_40.csv
10,020,169.1,1691,170,169,6734,heart_020_top_40.csv
11,058,168.9,1689,171,168,6696,heart_058_top_40.csv
12,001,168.4,1684,170,168,6687,heart_001_top_40.csv
13,009,168.4,1684,170,167,6681,heart_009_top_40.csv
14,000,168.1,1681,169,168,6685,heart_000_top_40.csv
15,030,167.7,1677,170,167,6665,heart_030_top_40.csv
16,076,167.6,1676,169,167,6658,heart_076_top_40.csv
17,038,167.4,1674,169,167,6639,heart_038_top_40.csv
18,034,167.1,1671,169,166,6648,heart_034_top_40.csv
19,044,167.1,1671,169,166,6647,heart_044_top_40.csv
20,041,166.9,1669,169,166,6603,heart_041_top_40.csv
21,008,166.9,1669,168,166,6625,heart_008_top_40.csv
22,012,166.8,1668,169,166,6618,heart_012_top_40.csv
23,046,166.6,1666,168,166,6621,heart_046_top_40.csv
24,049,166.5,1665,168,166,6623,heart_049_top_40.csv
25,063,166.5,1665,168,166,6612,heart_063_top_40.csv
26,043,166.4,1664,169,165,6598,heart_043_top_40.csv
27,040,166.4,1664,168,166,6617,heart_040_top_40.csv
28,072,166.4,1664,168,165,6609,heart_072_top_40.csv
29,011,166.3,1663,167,166,6615,heart_011_top_40.csv
30,071,166.3,1663,167,165,6602,heart_071_top_40.csv
31,078,166.2,1662,168,166,6603,heart_078_top_40.csv
32,033,165.8,1658,167,165,6594,heart_033_top_40.csv
33,094,165.8,1658,167,165,6572,heart_094_top_40.csv
34,048,165.7,1657,167,165,6571,heart_048_top_40.csv
35,095,165.7,1657,166,165,6590,heart_095_top_40.csv
36,032,165.4,1654,167,165,6582,heart_032_top_40.csv
37,019,165.3,1653,169,164,6551,heart_019_top_40.csv
