metric_index,metric_name,direction,weight,minimum,maximum
0,first_minimum_wanderer_influence,higher,4,9,19
1,first_minimum_input_coverage,higher,0,0,0
2,second_minimum_wanderer_influence,higher,0,0,0
3,second_minimum_input_coverage,higher,0,0,0
4,minimum_pair_union,higher,4,9,19
5,minimum_heart_separation,higher,2,1,4
6,total_heart_separation,higher,0,0,0
7,minimum_pair_balance,higher,0,0,0
8,minimum_complement,higher,3,0,4
9,dominated_pair_count,lower,4,3,14
10,flow_area,higher,6,5356,7850
11,arrival_total,lower,0,0,0
12,maximum_arrival_skew,lower,0,0,0
13,directed_diameter,lower,0,0,0
14,mean_wanderer_shortest_path_x1000,lower,2,2888,4602
15,worst_wanderer_mean_shortest_path_x1000,lower,5,2970,5250
16,minimum_influenced_wanderers,higher,0,0,0
17,minimum_wanderers_reached_within_four_edges,higher,7,4,13
18,mean_four_edge_wanderer_reach_x1000,higher,0,0,0
19,redundant_early_branch_fraction_x1000,higher,5,286,863
20,pair_component_count,lower,4,0,4
21,minimum_subset_expansion,higher,10,91,512
22,total_subset_expansion,higher,0,0,0
23,reserved_legacy_spectral_gap,higher,0,0,0
24,minimum_one_round_wanderer_fanout,higher,0,0,0
25,mean_one_round_wanderer_fanout_x1000,higher,0,0,0
26,minimum_source_orbiter_journey_area,higher,12,23,47
27,minimum_dual_tail_wanderer_reach,higher,32,1,9
28,mean_dual_tail_wanderer_reach_x1000,higher,0,0,0
29,maximum_orbiter_shortest_path_load_x1000,lower,6,175,388
30,maximum_ordered_source_orphan_area,lower,32,55,110
31,mean_ordered_source_orphan_area_x1000,lower,0,0,0
32,maximum_last_orphan_latency,lower,0,0,0
33,maximum_orphan_straggler_gap,lower,4,0,9
34,maximum_midpoint_source_orphans,lower,2,7,12
35,maximum_midpoint_destination_orphan_load,lower,4,3,12
36,maximum_midpoint_co_orphan_load,lower,4,2,10
37,maximum_source_meeting_orphans,lower,0,0,0
38,maximum_source_meeting_area,lower,2,102,173
39,mean_source_pair_meeting_latency_x1000,lower,2,8018,14000
40,maximum_robust_orphans,lower,8,5,12
41,mean_robust_orphans_x1000,lower,0,0,0
42,maximum_ordered_destination_orphan_area,lower,6,42,95
43,maximum_dual_tail_source_orphan_area,lower,8,91,148
44,mean_dual_tail_source_orphan_area_x1000,lower,0,0,0
45,maximum_robust_destination_orphans,lower,6,4,12
46,maximum_single_orbiter_ordered_pair_damage,lower,40,8,34
47,mean_single_orbiter_ordered_pair_damage_x1000,lower,0,0,0
48,minimum_surviving_fanout_after_one_orbiter_removal,higher,36,2,5
49,maximum_dual_tail_arrival_skew,lower,0,0,0
