column_index,column_name,direction,proposed_gate,proposed_threshold
1,heart_index,identity,no,
2,trial_index,identity,no,
3,pattern_index,identity,no,
4,head_rank,identity,no,
5,raw_attempt,identity,no,
6,head_a,recipe,no,
7,head_b,recipe,no,
8,head_c,recipe,no,
9,head_d,recipe,no,
10,head_e,recipe,no,
11,head_f,recipe,no,
12,head_g,recipe,no,
13,head_h,recipe,no,
14,head_i,recipe,no,
15,head_j,recipe,no,
16,head_k,recipe,no,
17,tail_a_a,recipe,no,
18,tail_a_b,recipe,no,
19,tail_a_c,recipe,no,
20,tail_a_d,recipe,no,
21,tail_a_e,recipe,no,
22,tail_a_f,recipe,no,
23,tail_a_g,recipe,no,
24,tail_a_h,recipe,no,
25,tail_a_i,recipe,no,
26,tail_a_j,recipe,no,
27,tail_a_k,recipe,no,
28,tail_b_a,recipe,no,
29,tail_b_b,recipe,no,
30,tail_b_c,recipe,no,
31,tail_b_d,recipe,no,
32,tail_b_e,recipe,no,
33,tail_b_f,recipe,no,
34,tail_b_g,recipe,no,
35,tail_b_h,recipe,no,
36,tail_b_i,recipe,no,
37,tail_b_j,recipe,no,
38,tail_b_k,recipe,no,
39,first_minimum_wanderer_influence,higher,yes,15
40,first_minimum_input_coverage,higher,yes,11
41,minimum_pair_union,higher,yes,15
42,minimum_heart_separation,higher,no,
43,total_heart_separation,higher,no,
44,minimum_pair_balance,higher,yes,0
45,minimum_complement,higher,yes,0
46,dominated_pair_count,lower,yes,11
47,flow_area,higher,yes,6280
48,arrival_total,lower,yes,3894
49,maximum_arrival_skew,lower,yes,24
50,directed_diameter,lower,no,
51,mean_wanderer_shortest_path_x1000,lower,no,
52,worst_wanderer_mean_shortest_path_x1000,lower,no,
53,minimum_wanderers_reached_within_four_edges,higher,yes,9
54,mean_four_edge_wanderer_reach_x1000,higher,no,
55,redundant_early_branch_fraction_x1000,higher,no,
56,pair_component_count,lower,yes,3
57,minimum_subset_expansion,higher,no,
58,total_subset_expansion,higher,no,
59,minimum_one_round_wanderer_fanout,higher,yes,10
60,mean_one_round_wanderer_fanout_x1000,higher,yes,1000
61,minimum_source_orbiter_journey_area,higher,yes,29
62,minimum_dual_tail_wanderer_reach,higher,yes,5
63,mean_dual_tail_wanderer_reach_x1000,higher,yes,863
64,maximum_orbiter_shortest_path_load_x1000,lower,no,
65,maximum_ordered_source_orphan_area,lower,no,
66,mean_ordered_source_orphan_area_x1000,lower,no,
67,maximum_last_orphan_latency,lower,yes,11
68,maximum_orphan_straggler_gap,lower,yes,4
69,maximum_midpoint_source_orphans,lower,yes,9
70,maximum_midpoint_destination_orphan_load,lower,yes,9
71,maximum_midpoint_co_orphan_load,lower,no,
72,maximum_source_meeting_area,lower,yes,120
73,mean_source_pair_meeting_latency_x1000,lower,yes,9545
74,maximum_robust_orphans,lower,yes,9
75,mean_robust_orphans_x1000,lower,no,
76,maximum_ordered_destination_orphan_area,lower,yes,69
77,maximum_dual_tail_source_orphan_area,lower,no,
78,mean_dual_tail_source_orphan_area_x1000,lower,no,
79,maximum_robust_destination_orphans,lower,yes,9
80,maximum_single_orbiter_ordered_pair_damage,lower,no,
81,mean_single_orbiter_ordered_pair_damage_x1000,lower,no,
82,minimum_surviving_fanout_after_one_orbiter_removal,higher,yes,4
83,maximum_dual_tail_arrival_skew,lower,yes,11
